,ID,Headline,Short_Description,Category,Date,Popularity_Score,Similarity_Scores_Comma_separated,nearest_neighbours
0,1008,Americans' Trans Fat Levels Dropped Over Last Decade: Report,"Researchers noted that during the time period of the study, the government also took steps to make the public aware of the",WELLNESS,20120208,0.344681242,"3.0711947824681856,3.192256823455823","9229,6163"
1,101,"Bow Wow Has Tax Liens From 2006, 2008, And 2010",Bow Wow needs to hire himself a new accountant -- because not only does he have a tax lien against him for unpaid taxes from,ENTERTAINMENT,20120129,0.375884438,"3.5135963496781297,3.670065889729949","5296,9116"
2,1041,Green Tea Could Help Functioning In Old Age: Study,"Green tea has long been eyed for possible health benefits, including its potential to decrease the risk of certain cancers",WELLNESS,20120208,0.36081675,"3.0599500023190043,3.2646739374538596","7856,3973"
3,1043,David Oliver: A Different Kind of Courage,"I often hear my patients and their families talk about courage. They say that someone faced his illness courageously, for instance. When they talk about courage, though, they're usually talking about a very specific kind of courage that has to do with the way that a patient is struggling with an illness.",WELLNESS,20120208,0.46222723,"3.3119639224040873,3.3790418916069367","1448,5534"
4,1090,How Old Is Old Enough?,"""Here are a number of judgment calls that parents make every day. There are no laws -- just your best, most educated, guess. I'm betting that the range of answers will mirror the """"it all depends on everything"""" reality of parenting.""",PARENTING,20120209,0.477863497,"3.423400618804534,3.4692002464834513","2342,9657"
5,1093,"Halle Berry 'Dark Tide' Poster Centers On Awful Bikini Top (PHOTO, VIDEO)","Halle's Rorschach Test of a bathing suit is front and center, dwarfing co-star (and fiance) Olivier Martinez's head. It's",STYLE & BEAUTY,20120209,0.341707973,"2.8338093341417663,3.0352940399515833","3327,4958"
6,11,Cheryl Tiegs In A Sauna: A Look Back,"""""""A Look Back"""" is a daily column that highlights a moment from fashion's fabulous past. Today's pick is of American model""",STYLE & BEAUTY,20120128,0.344850671,"1.7426899137602079,1.8281589012378265","316,4522"
7,1104,The Newest Wage Gap Pits Working Moms Against Working Women,"Apparently it really pays to not have kids. Moms earn up to 14% less than women who don’t have children, says a recent University",PARENTING,20120209,0.384884882,"2.8700359051073825,3.045474018880765","8100,9414"
8,1158,Channing Tatum Marriage: Actor Opens Up About His Marriage With Jenna Dewan,"""Channing Tatum and his wife, actress Jenna Dewan, opened up about their marriage at the Los Angeles premiere of """"The Vow""",WEDDINGS,20120209,0.357513994,"2.70132340894311,3.322649357985876","1222,444"
9,1159,Getting Married In The United Kingdom,The Ceremony The marriage must be performed before a person (whether clergy or otherwise) who is approved to register weddings,WEDDINGS,20120209,0.344061923,"2.235198626982591,2.8956693833067337","1125,1007"
10,1192,Cerebral Cruising Towards Antiquity (PHOTOS),"After several attempts to catch a taxi back to the ship, one of the local shopkeepers voluntarily came out of his store and helped me flag down a taxi and give the driver directions.",TRAVEL,20120210,0.402114077,"3.2512951817255855,3.3894062595951286","6394,8030"
11,1207,Why Can't Dieters Eat Mindfully?,"Mindful eating is a skill, much like learning to ride a bike or operate a new electronic device. It takes proper instruction and practice. And while it may be more difficult at first, it gets easier and easier until it becomes automatic.",WELLNESS,20120210,0.466243745,"2.9756437916984018,3.1903056347476415","8805,6740"
12,1235,Emotions Can Suck Your Wallet Dry In Divorce,"With attorneys charging upwards of $300 or $400 per hour, financial advisors charging thousands, and any other professionals needed adding to the long list of bills, divorce can get very expensive very quickly.",DIVORCE,20120210,0.429285218,"3.3677616269997355,3.403226186163492","8716,933"
13,1236,Meatloaf With An Attitude,When I read the list of ingredients I knew I had to make it. It combines some of my favorite foods: fruit and nuts.  It's not all that exotic to combine fruit in meat dishes when you come to think of it.,FOOD & DRINK,20120210,0.430535533,"2.681487884284791,2.925166280094075","2965,3209"
14,124,Creating Shared Value,"Most social enterprises already collaborate with large companies, but now with the trend quickly shifting from traditional corporate social responsibility (CSR) to creating shared value (CSV).",IMPACT,20120129,0.396509551,"3.5324306106801493,3.6800627492241476","8562,1348"
15,1241,Cookbooks We Love: The Newlywed Cookbook,"""Even if you aren't into gimmicky cookbooks, we're fairly certain that just about anyone can fall in love with """"The Newlywed""",FOOD & DRINK,20120210,0.365428501,"2.633862960733823,2.7694127954407604","8301,521"
16,125,"Malaria's Defeat, Africa's Future","Africa is taking command of its future by tackling an ancient plague.  If you care about peace -- and the prosperity of every woman, child and community -- you must care about malaria.",IMPACT,20120129,0.416016253,"3.0268611702902053,3.183072241056464","9808,1437"
17,1259,Valentine's Day Love Potions,"Whether you're planning a full romantic weekend or an intimate candle-lit supper with your sweetheart on Tuesday night, you've got to have something delicious to drink.",FOOD & DRINK,20120210,0.419555401,"2.707726768605263,2.8594685769827564","1109,916"
18,1265,Where To Buy Louisiana-Style King Cake,Have you ever tried a traditional king cake? Leave a comment below. If you want a taste of king cake to celebrate Mardi Gras,FOOD & DRINK,20120210,0.331064166,"2.9082903821839343,3.112588680425345","5650,3166"
19,1280,Valentine's Day 2012: 9 Beauty Gifts To Love,"As you know, we have a love-hate relationship with Valentine's Day around the Stylelist office. Even if some of us are total",STYLE & BEAUTY,20120211,0.383385615,"2.6963631692858008,2.8128549543363537","7069,5738"
20,1290,New York Fashion Week 2012: Rag & Bone Fall 2012 (PHOTOS),"Who Was There: Oh Land, Jennifer Nettles, Sasha Alexander The Skinny: On a blustery Friday evening in a chilly pier, David",STYLE & BEAUTY,20120211,0.350006826,"1.3062119539310475,1.3062119539310475","1857,1356"
21,1305,Shailene Woodley In Jason Wu: Look Of The Day (PHOTOS),"WHAT: The actress turned up to Jason Wu's fall 2012 runway show wearing a chic, striped sweater, collared shirt and pants",STYLE & BEAUTY,20120211,0.361616368,"2.8727115130803242,2.8733183346793076","5546,8228"
22,132,"Six-Plus Years After Hurricane Katrina, Now Is a Great Time to Visit New Orleans",Take a free ferry ride on the Mississippi River. Stop and hear some live jazz musicians while snacking on some pralines or a King Cake. Hold a live alligator on a swamp tour.,TRAVEL,20120130,0.411930895,"3.5961436338544734,3.679004668285645","4907,8891"
23,1349,"On Heroes, Civic Leaders, and Social Change: Reflections on Black History Month","Here's another example: When we think about the famous 1963 March On Washington, the first thing that comes to mind for most",IMPACT,20120211,0.373484493,"3.0237536855406146,3.1677959233651545","3950,4591"
24,1361,Why Should I Work Out? 9 Awesome Reasons Other Than Weight Loss,"If you were to believe the headlines on the average, body-shaming women's magazine, you might think that working out is only",WELLNESS,20120212,0.366260741,"2.791679397305428,2.8593657584959815","4719,79"
25,1372,Days Of Wine And Roses,"After seasons of dresses, dresses, and more dresses, trousers are stepping back into the spotlight. From the leg-lengthening stove pipe flares that reminded me (in a good way) of Tom Ford's legendary Gucci collections to the '70s-style pantsuits at Rachel Zoe, wearable pants stormed the runways.",STYLE & BEAUTY,20120212,0.496267797,"3.222262548479277,3.275575816525296","1725,323"
26,1377,21 Ways to Stress-Free Living and De-Cluttering Your Mind,"We are in control of our health, our well-being, our mental state, our marriage, our children. Everything. It's up to us to give ourselves the best life possible. No one else can do it for us, and truth is, it's best when we can do it for ourselves. It was a powerful realization.",WELLNESS,20120212,0.462248745,"2.727495752904623,2.9683254499657328","6431,5198"
27,1394,New York Fashion Week 2012: Alexander Wang Fall 2012 (PHOTOS),"Who Was There: Zoe Kravitz, Santigold, Ninja and Yo-Landi Vi$$er of Die Antwoord, Liya Kebede, Carine Roitfeld, Julia Restoin",STYLE & BEAUTY,20120212,0.373107278,"1.3062432785038627,1.3062432785038627","1858,1861"
28,1412,Five Lessons We Can Learn From the Life and Death of Whitney Houston,The tragic death of Whitney Houston has officially made this one of the most depressing black history months in recent memory. Here are five things that all of us can learn from her amazing life and tragic death.,ENTERTAINMENT,20120212,0.446458721,"3.505405517252682,3.5772322689810947","9778,7238"
